code,term
703272007,Heart failure with reduced ejection fraction
703273002,Heart failure with reduced ejection fraction due to coronary artery disease
703274008,Heart failure with reduced ejection fraction due to myocarditis
703275009,Heart failure with reduced ejection fraction due to cardiomyopathy
703276005,Heart failure with reduced ejection fraction due to heart valve disease
